sample	strainID	genus	species	count
21_B5	HAMBI-1299	Kluyvera	intermedia	25
21_B5	HAMBI-1842	Sphingobium	yanoikuyae	126
21_B5	HAMBI-1896	Sphingobacterium	spiritivorum	960
21_B5	HAMBI-1972	Aeromonas	caviae	4320
21_B5	HAMBI-1977	Pseudomonas	chlororaphis	333
21_B5	HAMBI-1988	Chitinophaga	sancti	0
21_B5	HAMBI-2159	Paraburkholderia	caryophylli	0
21_B5	HAMBI-2160	Bordetella	avium	24
21_B5	HAMBI-2164	Cupriavidus	necator	11
21_B5	HAMBI-2443	Paracoccus	denitrificans	30
21_B5	HAMBI-2494	Paraburkholderia	kururiensis	7
21_B5	HAMBI-2659	Stenotrophomonas	maltophilia	119
21_B5	HAMBI-2792	Moraxella	canis	0
21_B5	HAMBI-3031	Niabella	yanshanensis	22
21_B5	HAMBI-3237	Microvirga	lotononidis	8
21_B6	HAMBI-0006	Pseudomonas	putida	1436
21_B6	HAMBI-0097	Acinetobacter	lwoffii	0
21_B6	HAMBI-0105	Agrobacterium	tumefaciens	332
21_B6	HAMBI-0262	Brevundimonas	bullata	0
21_B6	HAMBI-0403	Comamonas	testosteroni	256
21_B6	HAMBI-1279	Hafnia	alvei	89
21_B6	HAMBI-1287	Citrobacter	koseri	1812
21_B6	HAMBI-1292	Morganella	morganii	71
21_B6	HAMBI-1299	Kluyvera	intermedia	26
21_B6	HAMBI-1842	Sphingobium	yanoikuyae	117
21_B6	HAMBI-1896	Sphingobacterium	spiritivorum	819
21_B6	HAMBI-1972	Aeromonas	caviae	3869
21_B6	HAMBI-1977	Pseudomonas	chlororaphis	264
21_B6	HAMBI-1988	Chitinophaga	sancti	0
21_B6	HAMBI-2159	Paraburkholderia	caryophylli	1
21_B6	HAMBI-2160	Bordetella	avium	31
21_B6	HAMBI-2164	Cupriavidus	necator	9
21_B6	HAMBI-2443	Paracoccus	denitrificans	19
21_B6	HAMBI-2494	Paraburkholderia	kururiensis	2
21_B6	HAMBI-2659	Stenotrophomonas	maltophilia	158
