sample	strainID	genus	species	count	count_correct	f_correct
15_BS4	HAMBI-2659	Stenotrophomonas	maltophilia	434	357	0.012923425819032025
15_BS4	HAMBI-2792	Moraxella	canis	0	0	0
15_BS4	HAMBI-3031	Niabella	yanshanensis	58	132	0.004791530958036135
15_BS4	HAMBI-3237	Microvirga	lotononidis	10	16	5.708097054743017e-4
15_BS5	HAMBI-0006	Pseudomonas	putida	434	29	0.0027960683036190818
15_BS5	HAMBI-0097	Acinetobacter	lwoffii	0	0	0
15_BS5	HAMBI-0105	Agrobacterium	tumefaciens	387	904	0.08845471939994348
15_BS5	HAMBI-0262	Brevundimonas	bullata	0	0	0
15_BS5	HAMBI-0403	Comamonas	testosteroni	318	226	0.022079251613346864
15_BS5	HAMBI-1279	Hafnia	alvei	13	25	0.0024822988298945172
15_BS5	HAMBI-1287	Citrobacter	koseri	3852	3854	0.37712615507904457
15_BS5	HAMBI-1292	Morganella	morganii	49	176	0.017217653924137325
15_BS5	HAMBI-1299	Kluyvera	intermedia	7	16	0.0015671754832078974
15_BS5	HAMBI-1842	Sphingobium	yanoikuyae	491	622	0.060818568039112494
15_BS5	HAMBI-1896	Sphingobacterium	spiritivorum	1628	2192	0.21444298747520563
15_BS5	HAMBI-1972	Aeromonas	caviae	2005	306	0.029977269901938462
15_BS5	HAMBI-1977	Pseudomonas	chlororaphis	767	1249	0.12220405156339338
15_BS5	HAMBI-1988	Chitinophaga	sancti	0	0	0
15_BS5	HAMBI-2159	Paraburkholderia	caryophylli	0	0	0
15_BS5	HAMBI-2160	Bordetella	avium	38	275	0.02692029036052357
15_BS5	HAMBI-2164	Cupriavidus	necator	6	58	0.005662170344535943
15_BS5	HAMBI-2443	Paracoccus	denitrificans	0	0	0
15_BS5	HAMBI-2494	Paraburkholderia	kururiensis	7	64	0.006272696943568785
15_BS5	HAMBI-2659	Stenotrophomonas	maltophilia	189	159	0.015514869715518754
15_BS5	HAMBI-2792	Moraxella	canis	0	0	0
15_BS5	HAMBI-3031	Niabella	yanshanensis	27	63	0.006149056352172093
15_BS5	HAMBI-3237	Microvirga	lotononidis	2	3	3.14716670837136e-4
15_BS6	HAMBI-0006	Pseudomonas	putida	634	43	0.0031985885074193
15_BS6	HAMBI-0097	Acinetobacter	lwoffii	0	0	0
15_BS6	HAMBI-0105	Agrobacterium	tumefaciens	700	1697	0.12529079123930095
